genre,rating
Super Power,8.32
Action,8.32
Fantasy,8.32
Magic,8.32
Shounen,8.32
Supernatural,8.32
Drama,8.32
Romance,8.32
School,8.32
Adventure,8.32
Drama,8.32
Fantasy,8.32
Romance,8.32
Slice of Life,8.32
Drama,8.32
Fantasy,8.32
Romance,8.32
Action,8.32
Dementia,8.32
Drama,8.32
Mecha,8.32
Psychological,8.32
Sci-Fi,8.32
Action,8.32
Adventure,8.32
Comedy,8.32
Drama,8.32
Fantasy,8.32
Shounen,8.32
Comedy,8.32
Drama,8.32
Action,8.32
Comedy,8.32
Sci-Fi,8.32
Mystery,8.32
Supernatural,8.32
Action,8.31
Comedy,8.31
Historical,8.31
Parody,8.31
Samurai,8.31
Sci-Fi,8.31
Shounen,8.31
Drama,8.31
Magic,8.31
Psychological,8.31
Thriller,8.31
Comedy,8.31
Drama,8.31
Romance,8.31
Shounen Ai,8.31
Comedy,8.31
Drama,8.31
Romance,8.31
School,8.31
Comedy,8.31
Romance,8.31
School,8.31
Fantasy,8.3
Sci-Fi,8.3
Shounen,8.3
Slice of Life,8.3
Action,8.3
Seinen,8.3
Comedy,8.3
Drama,8.3
Romance,8.3
School,8.3
Slice of Life,8.3
Supernatural,8.3
Comedy,8.3
Harem,8.3
Romance,8.3
Shounen,8.3
Supernatural,8.3
Comedy,8.3
Sci-Fi,8.3
Action,8.29
Comedy,8.29
Historical,8.29
Mystery,8.29
Seinen,8.29
Supernatural,8.29
Action,8.29
Mystery,8.29
Police,8.29
Shounen,8.29
Game,8.29
Psychological,8.29
Seinen,8.29
Thriller,8.29
Cars,8.29
Seinen,8.29
Sports,8.29
Adventure,8.29
Mystery,8.29
Romance,8.29
Sci-Fi,8.29
Action,8.29
Adventure,8.29
Comedy,8.29
Drama,8.29
Fantasy,8.29
Shounen,8.29
Super Power,8.29
Comedy,8.29
School,8.29
Shounen,8.29
Supernatural,8.29
Comedy,8.28
Drama,8.28
Fantasy,8.28
Magic,8.28
Romance,8.28
Shoujo,8.28
Comedy,8.28
Shounen,8.28
Sports,8.28
Comedy,8.28
Demons,8.28
Fantasy,8.28
Romance,8.28
Shoujo,8.28
Supernatural,8.28
Comedy,8.28
Drama,8.28
Romance,8.28
Shoujo,8.28
Comedy,8.28
Drama,8.28
Shounen,8.28
Sports,8.28
Drama,8.27
Mystery,8.27
Sci-Fi,8.27
Supernatural,8.27
Thriller,8.27
Adventure,8.27
Comedy,8.27
Drama,8.27
Fantasy,8.27
Magic,8.27
Romance,8.27
Comedy,8.27
Josei,8.27
Music,8.27
Romance,8.27
Slice of Life,8.27
Action,8.27
Adventure,8.27
Comedy,8.27
Drama,8.27
Fantasy,8.27
Shounen,8.27
Super Power,8.27
Comedy,8.27
Parody,8.27
Comedy,8.27
Sci-Fi,8.27
Space,8.27
Drama,8.27
Comedy,8.26
Music,8.26
Sci-Fi,8.26
Slice of Life,8.26
Sci-Fi,8.26
Slice of Life,8.26
Comedy,8.26
Romance,8.26
School,8.26
Shoujo,8.26
Adventure,8.26
Sci-Fi,8.26
Shounen,8.26
Psychological,8.26
Thriller,8.26
Action,8.25
Mystery,8.25
Sci-Fi,8.25
Super Power,8.25
Adventure,8.25
Comedy,8.25
Mystery,8.25
Police,8.25
Shounen,8.25
Adventure,8.25
